격자순번,격자100m,위도,경도,실제값,예측값,시계열예측값
345,다바811048,36.24068629,127.290213,0,0,0.75185037
346,다바811049,36.24158785,127.2902105,0,0,0.83981586
347,다바811050,36.2424894,127.2902081,0,0,0.8387542
348,다바811051,36.24339095,127.2902057,0,0,0.86588264
349,다바811052,36.2442925,127.2902033,0,0,0.8651923
350,다바811053,36.24519405,127.2902009,0,0,0.00065559
351,다바811054,36.2460956,127.2901985,0,0,0.00065559
352,다바811055,36.24699715,127.2901961,0,0,0.00065559
353,다바811056,36.24789871,127.2901937,0,0,0.00065559
354,다바811057,36.24880026,127.2901913,0,0,0.8648209
355,다바811058,36.24970181,127.2901889,0,0,0.00065559
356,다바811059,36.25060336,127.2901864,0,0,0.87601763
357,다바811060,36.25150491,127.290184,0,0,0.8566856
358,다바811061,36.25240646,127.2901816,0,0,0.85155094
359,다바811062,36.25330801,127.2901792,0,0,0.83558154
360,다바811063,36.25420956,127.2901768,0,0,0.68878883
361,다바811064,36.25511111,127.2901744,0,0,0.8659527
362,다바811065,36.25601266,127.290172,0,0,0.85231423
363,다바811066,36.25691421,127.2901696,0,0,0.8589239
364,다바811067,36.25781576,127.2901672,0,0,0.8656281
365,다바811068,36.25871731,127.2901648,0,0,0.8651619
366,다바811069,36.25961886,127.2901623,0,0,0.00065559
367,다바811070,36.26052041,127.2901599,0,0,0.86339015
368,다바811071,36.26142195,127.2901575,0,0,0.00065559
369,다바811072,36.2623235,127.2901551,0,0,0.6898061
370,다바812037,36.23077116,127.2913522,0,0,0.865711
371,다바812038,36.23167271,127.2913498,0,0,0.71143776
372,다바812039,36.23257427,127.2913474,0,0,0.8657206
373,다바812040,36.23347582,127.291345,0,0,0.86568224
374,다바812041,36.23437737,127.2913426,0,0,0.8657528
375,다바812042,36.23527892,127.2913403,0,0,0.86469305
376,다바812043,36.23618048,127.2913379,0,0,0.86453205
377,다바812044,36.23708203,127.2913355,0,0,0.86435086
378,다바812045,36.23798358,127.2913331,0,0,0.85874575
379,다바812046,36.23888514,127.2913307,0,0,0.86403817
380,다바812047,36.23978669,127.2913283,0,0,0.85505146
381,다바812048,36.24068824,127.2913259,0,0,0.8481673
382,다바812049,36.24158979,127.2913235,0,0,0.857703
383,다바812050,36.24249134,127.2913211,0,0,0.86530024
384,다바812051,36.2433929,127.2913187,0,0,0.8614269
385,다바812052,36.24429445,127.2913163,1,0,0.8673802
386,다바812053,36.245196,127.2913139,0,0,0.8636165
